use Bibilunette 
insert into Client 
(courriel,nom,prenom,adresse,numCarte,motPasse) 
VALUES 
('ncj0ad7@yahoo.com','Pugh','Ernest','6 Heather Ave.Sioux Lookout, ON P8T T1E','3511447066511333','2sn1f'),
('hy467k4o@gmail.com','Saunders','Rodney','Qualicum Beach, BC V9K B5R311 Brook Street','1560316725425261','lu1f10'),
('uioji3l1@yahoo.com','Walters','Cruz','Bradford, ON L3Z E6Y91 Rose St.','8353801104281183','xo2hl5cl'),
('g07wcbw26@gmail.com','Mathews','Karma','Vermilion, AB T9X J0R84 Pineknoll Street','0786414404173500','vg9gyhgp'),
('c4t1lky8y@gmail.com','Underwood','Raymond','Kimberley, BC V1A L5S9378 Del Monte Court','1651768550008175','7jwcfddo'),
('0gwku6@yahoo.com','Mckinney','Dylan','Kirkland Lake, ON P2N H3Y86 N . San Juan Street','2527752103711705','nbyet'),
('3iaei6yh@gmail.com','Palmer','Zoie','Concord, ON L4K K4X8074 Woodside St.','1410375383687446','3p252h0b'),
('ep9y6lg@yahoo.com','Hines','Lucian','Esquimalt, BC V9A T3H5 Country Club Street','5524680141688554','eqptw7'),
('f15n0o8f@gmail.com','Collier','Jovanny','Strathroy, ON N7G E8L290 Front Dr.','3437878210538801','x9b4s'),
('scw9d5v@hotmail.com','Huffman','Damon','Saint-Leonard, NB E7E H9N916 Jockey Hollow St.','6681000864078615','2ff9hmjq'),
('6mkcmggd@hotmail.com','Macias','Zavier','Lac-Megantic, QC G6B K4V292 East Helen Ave.','4574537722525056','90ukaud'),
('ppwlm9cdy@gmail.com','Vazquez','Jonathon','Delson, QC J5B Y5S189 Foster Court','7252815446883372','tip5ypvoa'),
('nvw6ys3re@hotmail.com','Clay','Reese','Baker Brook, NB E7A X8H8101 North Princeton Avenue','7687054018725156','n3gsi638'),
('gf6swyi60@yahoo.com','Huff','Amanda','New Glasgow, NS B2H B1G99 Edgewood Avenue','5861677112036001','3z3ps5ou'),
('leu3th4@hotmail.com','Huerta','Kayla','Juan de Fuca Shore, BC V0S B2P59 Gonzales Street','4112623650621514','a9bbgje5'),
('u12chc@yahoo.com','Potter','Jazlene','Inkerman, NB E8P G8K9583 Amerige Drive','3023234373401810','f2vsd'),
('pc8eo3@hotmail.com','Stout','Melissa','Durham Bridge, NB E6C E3T36C Depot Dr.','6272131285684274','fnml2fl9h'),
('nerwrs@yahoo.com','Kirby','Reagan','Hanover, ON N4N P4J9229 Williams Street','0343431381034773','3w0sfhr'),
('nf7alqi79@yahoo.com','Lewis','Talan','Porters Lake, NS B3E S9M843 Meadowbrook Drive','2186346607487843','k5b5r85'),
('y640ck3@yahoo.com','Bass','Walker','Gravenhurst, ON P1P C6Y818 Clinton Ave.','5226561586457334','0s20l'),
('1ud2uqb@gmail.com','Andersen','Johnathon','Saint-Bruno, QC J3V H9C754 Summerhouse St.','3772137456466583','lm5xg'),
('q0yr8wx@hotmail.com','Bailey','Elyse','Duvernay-Est, QC H7A S6K535 East Taylor St.','0442113653057358','mf83s41cf'),
('tujtiuown@yahoo.com','Carney','Sloane','Youngs Cove, NB E4C V8P2 Walt Whitman St.','2047834840441414','y8iwc'),
('h2tpbm8l@yahoo.com','Moses','Rolando','Lakeside, NS B3T S2V505 Stillwater Street','3652330705454354','o4zifawae'),
('3xebgl@yahoo.com','Howe','Jase','Campbellton, NB E3N B4L668 Highland Drive','0224485387512722','iozdks'),
('jw6lz94@yahoo.com','Rich','Draven','Conception Bay, LB A1X B8G458 East Brickyard St.','7283756057168583','1777z8'),
('zutkg@hotmail.com','Robertson','Haley','Fort Saskatchewan, AB T8L X8E9866 Longfellow Street','1853451734711760','uq4d2zs6'),
('hhh4gvlz6@yahoo.com','Spears','James','Suite 48Huron, ON N0G M3L','8305127034078881','xtimp9him'),
('vyrfh@yahoo.com','Mccullough','Harold','296 Riverview St.Tour de la Bourse, QC H4Z B3H','2057110217528226','6kg2qvztv'),
('5nr5ec4t@yahoo.com','Meyers','Paityn','8437 Berkshire St.Marieville, QC J3M X5C','2580330217806635','6zt45qa5c'),
('0fub47zug@gmail.com','Buckley','Agustin','9708 West Helen StreetSaint-Antoine, NB E4V L5G','7132565186424272','oqaml'),
('1rr22nkk8@gmail.com','Ramos','Alia','80 Laurel StreetBelledune, NB E8G H4B','5261632734777370','dtvcq870'),
('n84tt3n@gmail.com','Spence','Anya','591 Taylor Ave.La Baie, QC G7B L8G','3444443554753371','2yfbl'),
('jud1cps@hotmail.com','Huber','Brisa','8387 Pumpkin Hill StreetVimont, QC H7M M6K','6872834711220657','pa5ew'),
('etbsxdns3@yahoo.com','Mcdowell','Malakai','294 Wagon AvenueLondon, ON N5V J4H','4055776446468654','aznfhdud'),
('l21royrb@hotmail.com','Keith','Regan','7110 South George St.Acton, ON L7J C5A','1432377800386542','zwa0x1'),
('ezpy8f@gmail.com','Ibarra','Freddy','7336 Park St.Bruce Peninsula, ON N0H A0A','8735070747208014','depjahh9'),
('58mgdhu@yahoo.com','Nielsen','Savanah','559 S. Hillside DriveNew Waterford, NS B1H M8M','0507022303427540','6wihl1'),
('uevghh0b@yahoo.com','Woodward','Laura','7212 Fairway DriveMerritt, BC V1K H3B','4400734301580043','amfyv5p2'),
('8nj8begu@hotmail.com','Payne','Antonio','7955 Chapel DriveCold Lake, AB T9M R0A','6628854761884074','c44z9zypc'),
('v0gmso@hotmail.com','Becker','Annie','8321 North High Point StreetCarbonear, LB A1Y G8N','0300113220715445','5yg6trg'),
('w0rzd@hotmail.com','Gonzalez','Lilyana','888 Roberts StreetPeterborough, ON K9K M5R','5321805811226153','klp9pz'),
('nibl6fc@yahoo.com','Brewer','Tyson','8682 Lafayette StreetSaint-Colomban, QC J5K E4C','0227248650868425','42c8hkfj'),
('ekq8a@hotmail.com','Wall','Ireland','970 NW. Pin Oak Dr.Saint-Prime, QC G8J B2M','7365237443377466','wlvc279z'),
('efbyicr0m@hotmail.com','Potts','Miriam','8891 Lake Forest Dr.Petit-Rocher, NB E8J G5E','3828545328043588','6pwyz'),
('c3c1s9po@gmail.com','Riley','Nadia','7389 North Manchester LaneWindsor, QC J1S J2X','2155177250242058','x9g9dh'),
('o7on30jhg@yahoo.com','Rangel','Aimee','7400 Tanglewood DriveOttawa, ON K1G S3V','5207428201880240','mtiv2bagp'),
('wmfs315e5@hotmail.com','Melendez','Makayla','8909 Fulton Rd.Outaouais-Nord, QC J0W H6X','0246555167333338','c23lb1icv'),
('womie5i@hotmail.com','Harrington','Madalyn','627 W. Queen St.Weyburn, SK S4H P6S','2840623623254624','bv7ww7'),
('o6m8x8nk@yahoo.com','Neal','Tanner','9796 West Walnutwood St.Banff, AB T1L R3C','1620785561740488','jm4ceb0bm'),
('9bf6v@hotmail.com','Ashley','Allison','92 Lake Forest St.Keswick, ON L4P C4P','3602333173842134','72p4kh4'),
('dtsb3n@gmail.com','Mendez','Avah','168 Old Pawnee St.Canterbury, NB E6H P1M','0836773502055788','36arn2'),
('mi2bbo@gmail.com','Bowers','Aditya','99 North Beech Dr.Saint-Hippolyte, QC J8A Y9S','4765385075560101','syrrmym'),
('zg1jfsc@yahoo.com','Yang','Abdiel','7375 Lafayette RoadWaverley, NS B2R N0H','7423010411810646','su3qr0oct'),
('cgc746@gmail.com','Allen','Peter','905 Fairfield Ave.Lamèque, NB E8T L5S','2021526857587826','zt6o7mbya'),
('q3o8i@yahoo.com','Sanchez','Gavin','6 Johnson StreetPierrefonds, QC H8Z H4P','3032040113740321','i8w7qtb0y'),
('yljdql@gmail.com','Wise','Donte','24 Lookout Rd.Hampstead, QC H3X Y8H','0264121008215042','q0c84b'),
('41o44r@hotmail.com','Gillespie','Liana','9396 High Ridge St.Cap-Rouge, QC G1Y J0L','8350401460712430','fxz28x'),
('auq96rxc@yahoo.com','Clarke','Mikayla','842 Ryan Rd.Edmonton, AB T5A G7T','7163107518773722','8hjsv'),
('e975p@hotmail.com','Olsen','Irvin','627 Garfield StreetSaint-Jacques, NB E7B K2Y','1552806517681502','wnoeog'),
('u3s3ivby@gmail.com','Holt','Isaias','4 2nd Ave.Mississauga, ON L4T V5K','1723426751565607','itprnna2'),
('cilk5phox@gmail.com','Wood','Arabella','8503 Circle St.Louisbourg, NS B1C G7P','4771423881251146','6mirirzij'),
('4j61h@yahoo.com','Shea','Jamie','840 Bank StreetChatham, QC J8G R5V','0768136848322626','9gv7l7v6'),
('ex0jd9@hotmail.com','Carlson','Jazlynn','9225 Aspen St.Allardville, NB E8L E3T','4446421330138213','ayoqdfr'),
('l7rkedv@yahoo.com','Wilkins','Rory','73 1st St.Riverview, NB E1B A4N','3064222465426163','ronhys88a'),
('i8t7z334k@gmail.com','Lowery','Shayla','49 N. Myers Ave.Doaktown, NB E9C B2J','6353672417451614','ohzift'),
('n7epcod@yahoo.com','Nunez','Tomas','21 Oxford LaneLangley City, BC V3A C9M','6825643545447316','jsaotkbh'),
('8ioipy97@gmail.com','Mosley','Carina','530 North Ridge CourtCowansville, QC J2K J9K','8500337216856367','7syauro8g'),
('v169kr4@hotmail.com','Hensley','Thalia','7177 Victoria StreetPlaster Rock, NB E7G C8B','0688112214118162','jo6rt'),
('tz7c1b7@yahoo.com','Carr','Mara','114 West Highland St.Burin Peninsula, LB A0E P9M','3564876385456884','u9j61u'),
('kf38o8@yahoo.com','Dyer','Aron','78 Studebaker St.Boiestown, NB E6A A9K','6251344730838647','e53uo'),
('isn5ltx@hotmail.com','Bridges','Jessica','7010 Mountainview AvenueKingston, NB E5S K2S','0511842272104773','f0pa7'),
('t833n6c@hotmail.com','Mcclain','Khloe','9826 East Fawn St.Meadow Lake, SK S9X V0B','6735602516720706','83h21mag'),
('wpkn1u@yahoo.com','Snyder','Bruno','545 South Arcadia StreetHébertville, QC G8N B6T','5518656665532065','8ivz5j2k'),
('9ei2ryplp@gmail.com','Jarvis','Titus','1 Griffin St.Lac-Saint-Charles, QC G3G R3J','2328631507716835','56wvnztp'),
('2bql3mg@hotmail.com','Moody','Aileen','674 E. Halifax St.Alder Point, NS B1Y A3J','0834388724245255','snj7o'),
('zn0arq4@gmail.com','Harmon','Chloe','23 Third Ave.Bass River, NB E4T C5E','3061466857730844','gt1x5e'),
('e9t6758@gmail.com','Lynch','Bryant','40 N. St Louis Dr.Pintendre, QC G6C H1K','5642044882844558','1yv5honh1'),
('d7iprpro@hotmail.com','Gardner','Nyla','467 Spruce StreetCumberland, ON K4C B5R','3022574555324336','stnh8nteh'),
('akn5g@yahoo.com','Mcgrath','Katherine','8362 Atlantic DriveSturgeon Falls, ON P2B J9A','1003744343300387','nv1e0a9q'),
('wgvyxudvr@hotmail.com','Wagner','Brittany','9487 Andover St.Brantville, NB E9H S8T','2548543126646032','ppz768xe8'),
('9teim@gmail.com','Duran','Emely','532 Marshall St.Cranbrook, BC V1C S5C','3780123303471766','hr3p06b'),
('u3iu6eo1@yahoo.com','Ellison','Omari','65 Delaware Ave.Richibucto, NB E4W K8C','7576247470755152','lq01g'),
('f53k6@gmail.com','Larson','Jaquan','7276 Tallwood StreetTaber, AB T1G T9E','4182585457722153','txnxjdn4'),
('npdoo@hotmail.com','Cummings','Myla','7401 W. Brandywine DriveGreater Sudbury, ON P3A K6B','0857280748317316','ow27fhzw'),
('kyp69@hotmail.com','Ewing','Anabelle','7878 Essex St.Paris, ON N3L M3A','3605357053177117','mkxuth'),
('y5j2xx@hotmail.com','Wiggins','Adriel','9972 Brickyard St.Bracebridge, ON P1L N5S','0630664282840370','pvsdk'),
('dbxeu9p@hotmail.com','Patel','Ethen','354 Lees Creek LaneYellowknife, NT X1A T9E','6666155057430258','1qgoum'),
('32zznq0@gmail.com','Wilkinson','Jason','223 S. Euclid AvenueLoch Lomond, NS B2E V9A','7512334526663154','124pd'),
('7iupani@yahoo.com','Anderson','Lennon','4 Wentworth Dr.Beaconsfield, QC H9W L7T','6708777766056348','fudqlrp8g'),
('677yv@hotmail.com','Kane','Ellis','7 Fieldstone St.Terrace, BC V8G Y2C','1608318702042425','tn0rbgx'),
('coswl@yahoo.com','Dillon','River','7 North 1st St.Montérégie-Nord, QC J0L H6K','7440148040577084','zgc00nwyc'),
('1he42e3@gmail.com','Love','Ryann','792 W. Randall Mill St.Hinton, AB T7V X2M','0831530182615214','oc6x1xg6c'),
('jya34eccp@yahoo.com','Powers','Corey','914 W. Peachtree St.Saint-Pierre, QC H8R J2X','6362067782622655','mck8do'),
('0m34vc@yahoo.com','Mullen','Moshe','205 Vermont StreetGloucester, ON K1B K2X','7323016785188883','wj6qj2kea'),
('bg78aba@yahoo.com','Adkins','Layla','9 Peachtree St.Grand Falls, LB A2A M5X','3568008844281100','qbm4vo'),
('7cxxsjjr1@yahoo.com','Knox','Chase','12 Lincoln Ave.Grand Manan Island, NB E5G C3H','6222470246130044','ktd0b'),
('yg0pr@yahoo.com','Tran','Taniyah','583 College St.Kapuskasing, ON P5N L7N','6388110156285463','4x9o5q'),
('8nr17u@yahoo.com','Sawyer','Denise','50 Canterbury St.Glace Bay, NS B1A P6V','1540787331407705','k8rd05a'),
('yuwygbglp@yahoo.com','Gallegos','Kingston','6 Westport St.White Rock, BC V4B S6L','6122688113717026','m5ga921c'),
('by8xwoet@yahoo.com','Branch','Brayden','59 Fulton St.Powell River, BC V8A G6B','5284044786622244','75jfy'),
('9jauzjb@gmail.com','Buchanan','Natasha','786 Gates Ave.Selkirk, MB R1A N1P','5370165175653488','1xut1e8'),
('2evniyq@yahoo.com','Benson','Alisa','750 Bellevue AvenueNackawic, NB E6G T9P','4513262354317466','suw3x4'),
